sample_id,label,stage,status,max_abs_diff,mean_abs_diff,cosine_similarity
sample_0060,unknown,log,PASS,8.0108642578125e-05,6.886221304775612e-07,0.9999999999999626
sample_0060,unknown,normalize,PASS,1.6629695892333984e-05,1.4306366967214826e-07,0.9999999999998016
sample_0061,unknown,fft,PASS,0.0003662109375,8.119058675924636e-07,0.9999999999999899
sample_0061,unknown,mel,PASS,0.000244140625,1.761881762312107e-06,0.9999999999999913
sample_0061,unknown,log,PASS,0.0004930496215820312,2.6315242619170707e-06,0.9999999999976229
sample_0061,unknown,normalize,PASS,0.0001024007797241211,5.458198910052335e-07,0.9999999999950737
sample_0062,unknown,fft,PASS,1.1444091796875e-05,1.1672415156118001e-08,0.9999999999999892
sample_0062,unknown,mel,PASS,1.1444091796875e-05,2.8958206538968818e-08,0.9999999999999911
sample_0062,unknown,log,PASS,7.343292236328125e-05,1.1985365484061992e-06,0.999999999999914
sample_0062,unknown,normalize,PASS,1.52587890625e-05,2.487790114551755e-07,0.9999999999996023
sample_0063,unknown,fft,PASS,0.0001220703125,1.2305670694544654e-07,0.9999999999999939
sample_0063,unknown,mel,PASS,0.0001220703125,3.370638871819923e-07,0.9999999999999944
sample_0063,unknown,log,PASS,0.00029468536376953125,1.9443136041823746e-06,0.99999999999941
sample_0063,unknown,normalize,PASS,6.115436553955078e-05,4.032863318012586e-07,0.9999999999985983
sample_0064,unknown,fft,PASS,4.57763671875e-05,8.795351483694286e-08,0.9999999999999916
sample_0064,unknown,mel,PASS,3.0517578125e-05,2.4520689554078127e-07,0.9999999999999918
sample_0064,unknown,log,PASS,0.0001087188720703125,2.9895536049435117e-06,0.9999999999995157
sample_0064,unknown,normalize,PASS,2.2590160369873047e-05,6.209329377711718e-07,0.999999999998217
sample_0065,unknown,fft,PASS,0.00018310546875,3.2801628975564416e-07,0.9999999999999887
sample_0065,unknown,mel,PASS,0.0001220703125,7.415085490355883e-07,0.999999999999993
sample_0065,unknown,log,PASS,6.008148193359375e-05,1.506662439430446e-06,0.9999999999998803
sample_0065,unknown,normalize,PASS,1.2516975402832031e-05,3.1320906028929247e-07,0.9999999999996895
sample_0066,unknown,fft,PASS,9.1552734375e-05,1.5128494706123753e-07,0.9999999999999947
sample_0066,unknown,mel,PASS,6.103515625e-05,3.7640763740672963e-07,0.9999999999999966
sample_0066,unknown,log,PASS,0.00040435791015625,2.227527732943014e-06,0.9999999999985589
sample_0066,unknown,normalize,PASS,8.392333984375e-05,4.616090359152145e-07,0.9999999999973783
sample_0067,unknown,fft,PASS,9.1552734375e-05,1.6585958036401248e-07,0.9999999999999927
sample_0067,unknown,mel,PASS,0.0001220703125,4.3102511930583214e-07,0.9999999999999932
sample_0067,unknown,log,PASS,0.00019073486328125,2.695078815167567e-06,0.9999999999992505
sample_0067,unknown,normalize,PASS,3.9577484130859375e-05,5.594245202259891e-07,0.9999999999979249
sample_0068,unknown,fft,PASS,0.000244140625,2.3075443061769462e-07,0.9999999999999932
sample_0068,unknown,mel,PASS,0.000244140625,5.514272302841909e-07,0.9999999999999949
sample_0068,unknown,log,PASS,0.00018215179443359375,3.353521209970891e-06,0.9999999999994601
sample_0068,unknown,normalize,PASS,3.7789344787597656e-05,6.961701542017595e-07,0.999999999998214
sample_0069,unknown,fft,PASS,0.000244140625,2.2469783731171885e-07,0.9999999999999919
sample_0069,unknown,mel,PASS,0.000244140625,5.229457190428689e-07,0.9999999999999952
sample_0069,unknown,log,PASS,0.00013065338134765625,9.843811830530222e-07,0.9999999999998977
sample_0069,unknown,normalize,PASS,2.7060508728027344e-05,2.0444603215215503e-07,0.9999999999997221
sample_0070,unknown,fft,PASS,3.0517578125e-05,5.0932450098941906e-08,0.9999999999999934
sample_0070,unknown,mel,PASS,1.9073486328125e-05,1.1974162662069588e-07,0.9999999999999954
sample_0070,unknown,log,PASS,9.822845458984375e-05,3.588343809109808e-07,0.9999999999999705
sample_0070,unknown,normalize,PASS,2.0384788513183594e-05,7.449053816461595e-08,0.9999999999999323
sample_0071,unknown,fft,PASS,0.000244140625,1.553054876166188e-07,0.9999999999999954
sample_0071,unknown,mel,PASS,0.000244140625,4.1111097172597416e-07,0.9999999999999939
sample_0071,unknown,log,PASS,5.054473876953125e-05,9.562999285563901e-07,0.9999999999999588
sample_0071,unknown,normalize,PASS,1.049041748046875e-05,1.9759099273815622e-07,0.9999999999998729
sample_0072,unknown,fft,PASS,6.103515625e-05,7.550391646599082e-08,0.9999999999999928
sample_0072,unknown,mel,PASS,3.0517578125e-05,1.672416451841835e-07,0.9999999999999951
sample_0072,unknown,log,PASS,0.0001125335693359375,7.908427163567809e-07,0.9999999999999283
sample_0072,unknown,normalize,PASS,2.3365020751953125e-05,1.6418780297940565e-07,0.9999999999997938
sample_0073,unknown,fft,PASS,1.52587890625e-05,2.487810283365917e-08,0.9999999999999936
sample_0073,unknown,mel,PASS,1.52587890625e-05,6.112814916514169e-08,0.9999999999999933
sample_0073,unknown,log,PASS,2.765655517578125e-05,9.037352590372159e-07,0.9999999999999722
sample_0073,unknown,normalize,PASS,5.7220458984375e-06,1.8799226219727805e-07,0.999999999999905
sample_0074,unknown,fft,PASS,7.152557373046875e-07,3.747045143629236e-09,0.9999999999999908
sample_0074,unknown,mel,PASS,9.5367431640625e-07,7.898444547469925e-09,0.9999999999999947
sample_0074,unknown,log,PASS,9.5367431640625e-06,4.3241082737337575e-07,0.999999999999994
sample_0074,unknown,normalize,PASS,1.9669532775878906e-06,8.978443898146484e-08,0.9999999999999605
sample_0075,unknown,fft,PASS,6.103515625e-05,7.461180153702541e-08,0.9999999999999956
sample_0075,unknown,mel,PASS,6.103515625e-05,1.8206996414899695e-07,0.9999999999999961
sample_0075,unknown,log,PASS,2.002716064453125e-05,2.41096383640727e-07,0.9999999999999972
sample_0075,unknown,normalize,PASS,4.157423973083496e-06,5.0277569496054384e-08,0.9999999999999913
sample_0076,unknown,fft,PASS,9.1552734375e-05,2.0107151850534268e-07,0.999999999999994
sample_0076,unknown,mel,PASS,9.1552734375e-05,4.937462509424201e-07,0.9999999999999938
sample_0076,unknown,log,PASS,0.0003185272216796875,2.275327325592251e-06,0.9999999999988347
sample_0076,unknown,normalize,PASS,6.61611557006836e-05,4.7202126219111386e-07,0.9999999999966576
sample_0077,unknown,fft,PASS,0.0003662109375,5.225451141963692e-07,0.9999999999999927
sample_0077,unknown,mel,PASS,0.000244140625,1.312569138966716e-06,0.9999999999999937
sample_0077,unknown,log,PASS,4.2438507080078125e-05,4.1379378599951526e-07,0.9999999999999815
sample_0077,unknown,normalize,PASS,8.806586265563965e-06,8.664013569947507e-08,0.9999999999999578
sample_0078,unknown,fft,PASS,6.103515625e-05,1.123590483059518e-07,0.9999999999999901
sample_0078,unknown,mel,PASS,6.103515625e-05,2.7748447085079783e-07,0.9999999999999928
sample_0078,unknown,log,PASS,2.3365020751953125e-05,3.641503324183534e-07,0.9999999999999716
sample_0078,unknown,normalize,PASS,4.850327968597412e-06,7.50955097270106e-08,0.999999999999979
sample_0079,unknown,fft,PASS,3.0517578125e-05,4.867662038914412e-08,0.9999999999999917
sample_0079,unknown,mel,PASS,2.288818359375e-05,1.1567515242261954e-07,0.9999999999999933
sample_0079,unknown,log,PASS,1.430511474609375e-05,3.069957403009665e-07,0.9999999999999956
sample_0079,unknown,normalize,PASS,2.950429916381836e-06,6.361463393020157e-08,0.9999999999999875
sample_0080,unknown,fft,PASS,3.0517578125e-05,8.892894150831576e-08,0.9999999999999934
sample_0080,unknown,mel,PASS,3.0517578125e-05,2.414383501816887e-07,0.9999999999999938
sample_0080,unknown,log,PASS,7.534027099609375e-05,1.0505862177308133e-06,0.9999999999999228
sample_0080,unknown,normalize,PASS,1.5676021575927734e-05,2.1762816056189597e-07,0.9999999999997973
sample_0081,unknown,fft,PASS,0.00048828125,1.1842957934873818e-06,0.9999999999999912
sample_0081,unknown,mel,PASS,0.0003662109375,2.555953962750173e-06,0.9999999999999948
sample_0081,unknown,log,PASS,6.580352783203125e-05,9.74121603306203e-07,0.9999999999999232
sample_0081,unknown,normalize,PASS,1.3649463653564453e-05,2.0238943275532197e-07,0.9999999999998589
sample_0082,unknown,fft,PASS,0.0001220703125,1.242755803467131e-07,0.9999999999999942
sample_0082,unknown,mel,PASS,0.0001220703125,3.462356197831137e-07,0.9999999999999949
sample_0082,unknown,log,PASS,4.482269287109375e-05,7.35513173939319e-07,0.9999999999999003
sample_0082,unknown,normalize,PASS,9.298324584960938e-06,1.5213732010601917e-07,0.9999999999997855
sample_0083,unknown,fft,PASS,0.00048828125,1.8991819222415215e-06,0.9999999999999939
sample_0083,unknown,mel,PASS,0.00048828125,4.4939385100851815e-06,0.9999999999999954
sample_0083,unknown,log,PASS,3.910064697265625e-05,4.7175349704552406e-07,0.999999999999929
sample_0083,unknown,normalize,PASS,8.106231689453125e-06,9.805615371817004e-08,0.9999999999999842
sample_0084,unknown,fft,PASS,0.000244140625,1.9883737177251024e-07,0.9999999999999963
sample_0084,unknown,mel,PASS,0.000244140625,5.24716024311446e-07,0.9999999999999964
sample_0084,unknown,log,PASS,0.00014781951904296875,2.4749888865753206e-06,0.999999999999383
sample_0084,unknown,normalize,PASS,3.0666589736938477e-05,5.141523165503254e-07,0.9999999999981909
sample_0085,down,fft,PASS,3.814697265625e-06,1.1862765088972137e-08,0.9999999999999919
sample_0085,down,mel,PASS,2.86102294921875e-06,2.6968902216970153e-08,0.9999999999999944
sample_0085,down,log,PASS,8.106231689453125e-05,7.367540308790706e-07,0.9999999999999439
sample_0085,down,normalize,PASS,1.6808509826660156e-05,1.5294733319672442e-07,0.9999999999997985
sample_0086,down,fft,PASS,0.000732421875,1.1552866299463739e-06,0.9999999999999944
sample_0086,down,mel,PASS,0.00048828125,2.6754960142377717e-06,0.9999999999999959
